Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv1906c,,2152425,471,hypothetical protein,140,Rv1906c.fasta
Rv1908c,katG,2153889,2223,catalase-peroxidase,1115,Rv1908c.fasta
Rv1909c,furA,2156149,444,ferric uptake regulation protein FurA,178,Rv1909c.fasta
Rv1910c,,2156706,594,hypothetical protein,173,Rv1910c.fasta
Rv1911c,lppC,2157382,606,lipoprotein LppC,207,Rv1911c.fasta
Rv1912c,fadB5,2158087,1005,oxidoreductase FadB,261,Rv1912c.fasta
Rv1913,,2159191,753,hypothetical protein,233,Rv1913.fasta
Rv1915,aceAa,2160463,1104,isocitrate lyase AceAa,127,Rv1915.fasta
Rv1916,aceAb,2161566,1197,isocitrate lyase AceAb,319,Rv1916.fasta
Rv1919c,,2171061,465,hypothetical protein,121,Rv1919c.fasta
Rv1920,,2171623,864,membrane protein,268,Rv1920.fasta
Rv1921c,lppF,2172524,1272,lipoprotein LppF,392,Rv1921c.fasta
Rv1923,lipD,2175173,1341,lipase LipD,442,Rv1923.fasta
Rv1924c,,2176550,381,hypothetical protein,143,Rv1924c.fasta
Rv1925,fadD31,2177087,1863,fatty-acid--CoA ligase FadD31,451,Rv1925.fasta
Rv1926c,mpt63,2178957,480,immunogenic protein Mpt63,155,Rv1926c.fasta
Rv1927,,2179673,774,hypothetical protein,239,Rv1927.fasta
Rv1930c,,2181918,525,hypothetical protein,180,Rv1930c.fasta
Rv1931c,,2182460,780,transcriptional regulator,250,Rv1931c.fasta
Rv1932,tpx,2183372,498,thiol peroxidase,149,Rv1932.fasta
Rv1933c,fadE18,2183866,1092,acyl-CoA dehydrogenase FadE18,337,Rv1933c.fasta
Rv1934c,fadE17,2184959,1230,acyl-CoA dehydrogenase FadE17,400,Rv1934c.fasta
Rv1935c,echA13,2186203,957,enoyl-CoA hydratase EchA13,292,Rv1935c.fasta
Rv1936,,2187384,1110,monooxygenase,367,Rv1936.fasta
Rv1937,,2188496,2520,oxygenase,846,Rv1937.fasta
Rv1938,ephB,2191027,1071,epoxide hydrolase EphB,348,Rv1938.fasta
Rv1939,,2192094,516,oxidoreductase,191,Rv1939.fasta
Rv1940,ribA1,2192606,1062,riboflavin biosynthesis protein RibA,343,Rv1940.fasta
Rv1941,,2193664,771,short-chain type dehydrogenase/reductase,193,Rv1941.fasta
Rv1942c,mazF5,2194644,330,toxin MazF5,81,Rv1942c.fasta
Rv1943c,mazE5,2194970,378,antitoxin MazE5,108,Rv1943c.fasta
Rv1944c,,2195344,591,hypothetical protein,215,Rv1944c.fasta
Rv1946c,lppG,2197508,453,lipoprotein,127,Rv1946c.fasta
Rv1947,,2198024,402,hypothetical protein,108,Rv1947.fasta
Rv1950c,,2199998,192,hypothetical protein,61,Rv1950c.fasta
Rv1951c,,2200190,297,hypothetical protein,83,Rv1951c.fasta
Rv1952,vapB14,2200726,216,antitoxin VapB14,72,Rv1952.fasta
Rv1954c,,2201223,522,hypothetical protein,168,Rv1954c.fasta
Rv1956,higA,2202138,450,antitoxin HigA,122,Rv1956.fasta
Rv1958c,,2203018,615,hypothetical protein,191,Rv1958c.fasta
Rv1959c,parE1,2203681,297,toxin ParE1,63,Rv1959c.fasta
Rv1961,,2204212,495,hypothetical protein,170,Rv1961.fasta
Rv1962A,vapB35,2205277,273,antitoxin VapB35,78,Rv1962A.fasta
Rv1962c,vapC35,2204866,408,ribonuclease VapC35,112,Rv1962c.fasta
Rv1963c,mce3R,2205582,1221,transcriptional repressor Mce3R,274,Rv1963c.fasta
Rv1991c,mazF6,2234305,345,mRNA interferase MazF6,97,Rv1991c.fasta
Rv1998c,,2242945,777,hypothetical protein,245,Rv1998c.fasta
Rv1999c,,2243816,1323,transporter,525,Rv1999c.fasta
Rv2003c,,2248563,858,hypothetical protein,306,Rv2003c.fasta
Rv2004c,,2249478,1497,hypothetical protein,358,Rv2004c.fasta
Rv2005c,,2250996,888,universal stress protein,207,Rv2005c.fasta
Rv2007c,fdxA,2256084,345,ferredoxin,85,Rv2007c.fasta
Rv2008c,,2256617,1326,hypothetical protein,361,Rv2008c.fasta
Rv2009,vapB15,2258030,243,antitoxin VapB15,69,Rv2009.fasta
Rv2010,vapC15,2258273,399,ribonuclease VapC15,102,Rv2010.fasta
Rv2011c,,2258854,432,hypothetical protein,130,Rv2011c.fasta
Rv2017,,2263998,1041,transcriptional regulator,265,Rv2017.fasta
Rv2021c,,2266805,306,transcriptional regulator,98,Rv2021c.fasta
Rv2025c,,2270750,999,cation efflux system protein,307,Rv2025c.fasta
Rv2026c,,2271863,885,universal stress protein,262,Rv2026c.fasta
Rv2027c,dosT,2272787,1722,two component sensor histidine kinase DosT,373,Rv2027c.fasta
Rv2028c,,2274569,840,universal stress protein,260,Rv2028c.fasta
Rv2029c,pfkB,2275405,1020,6-phosphofructokinase PfkB,286,Rv2029c.fasta
Rv2030c,,2276441,2046,hypothetical protein,639,Rv2030c.fasta
Rv2031c,hspX,2278498,435,alpha-crystallin,117,Rv2031c.fasta
Rv2032,acg,2279129,996,NAD(P)H nitroreductase acg,257,Rv2032.fasta
Rv2033c,,2280240,843,hypothetical protein,286,Rv2033c.fasta
Rv2034,,2281294,324,ArsR family HTH-type transcriptional repressor,98,Rv2034.fasta
Rv2035,,2281614,489,hypothetical protein,160,Rv2035.fasta
Rv2036,,2282099,642,hypothetical protein,193,Rv2036.fasta
Rv2037c,,2282747,975,transmembrane protein,275,Rv2037c.fasta
Rv2038c,,2283723,1074,sugar ABC transporter ATP-binding protein,260,Rv2038c.fasta
Rv2040c,,2285628,903,sugar ABC transporter permease,202,Rv2040c.fasta
Rv2041c,,2286527,1320,sugar ABC transporter substrate-binding lipoprotein,346,Rv2041c.fasta
Rv2042c,,2287884,798,hypothetical protein,252,Rv2042c.fasta
Rv2043c,pncA,2288681,561,pyrazinamidase/nicotinamidase PncA,742,Rv2043c.fasta
Rv2044c,,2289282,318,hypothetical protein,88,Rv2044c.fasta
Rv2045c,lipT,2289685,1536,carboxylesterase LipT,408,Rv2045c.fasta
Rv2046,lppI,2291269,657,lipoprotein LppI,195,Rv2046.fasta
Rv2047c,,2291962,2565,hypothetical protein,618,Rv2047c.fasta
Rv2049c,,2307293,225,hypothetical protein,82,Rv2049c.fasta
Rv2052c,,2310913,1605,hypothetical protein,477,Rv2052c.fasta
Rv2053c,fxsA,2312522,528,transmembrane protein FxsA,181,Rv2053c.fasta
Rv2054,,2313125,714,hypothetical protein,233,Rv2054.fasta
Rv2055c,rpsR2,2314087,267,30S ribosomal protein S18,84,Rv2055c.fasta
Rv2056c,rpsN2,2314354,306,30S ribosomal protein S14,90,Rv2056c.fasta
Rv2057c,rpmG1,2314661,165,50S ribosomal protein L33,57,Rv2057c.fasta
Rv2058c,rpmB2,2314825,237,50S ribosomal protein L28,105,Rv2058c.fasta
Rv2059,,2315174,1536,hypothetical protein,498,Rv2059.fasta
Rv2066,cobIJ,2323175,1527,bifunctional S-adenosyl-L-methionine-precorrin-2 methyl transferase/precorrin-3 methylase,495,Rv2066.fasta
Rv2068c,blaC,2325886,924,beta-lactamase,272,Rv2068c.fasta
Rv2070c,cobK,2327491,735,precorrin-6A reductase,185,Rv2070c.fasta
Rv2071c,cobM,2328222,756,precorrin-4 C(11)-methyltransferase,249,Rv2071c.fasta
Rv2079,,2335355,1971,hypothetical protein,605,Rv2079.fasta
Rv2084,,2341808,1137,hypothetical protein,247,Rv2084.fasta
Rv2086,,2343311,606,hypothetical protein,170,Rv2086.fasta
Rv2089c,pepE,2346197,1128,dipeptidase PepE,371,Rv2089c.fasta
Rv2091c,,2348558,735,membrane protein,213,Rv2091c.fasta
Rv2092c,helY,2349334,2721,ATP-dependent DNA helicase HelY,714,Rv2092c.fasta
Rv2093c,tatC,2352103,927,Sec-independent protein translocase transmembrane protein TatC,207,Rv2093c.fasta
Rv2094c,tatA,2353046,252,Sec-independent protein translocase membrane-bound protein TatA,62,Rv2094c.fasta
Rv2095c,pafC,2353365,951,proteasome accessory factor C,269,Rv2095c.fasta
Rv2096c,pafB,2354312,999,proteasome accessory factor B,254,Rv2096c.fasta
Rv2097c,pafA,2355319,1359,proteasome accessory factor PafA,255,Rv2097c.fasta
Rv2100,,2358389,1653,hypothetical protein,551,Rv2100.fasta
Rv2104a,,2364797,258,hypothetical protein,105,Rv2104a.fasta
Rv2104c,vapB37,2364527,255,antitoxin VapB37,74,Rv2104c.fasta
Rv2109c,prcA,2368983,747,proteasome subunit alpha,174,Rv2109c.fasta
Rv2110c,prcB,2369726,876,proteasome subunit beta,196,Rv2110c.fasta
Rv2111c,pup,2370598,195,ubiquitin-like protein Pup,66,Rv2111c.fasta
Rv2113,,2372630,1194,integral membrane protein,430,Rv2113.fasta
Rv2114,,2373834,624,hypothetical protein,204,Rv2114.fasta
Rv2115c,mpa,2374461,1830,proteasome-associated ATPase,378,Rv2115c.fasta
Rv2116,lppK,2376571,570,lipoprotein LppK,173,Rv2116.fasta
Rv2117,,2377148,294,hypothetical protein,77,Rv2117.fasta
Rv2118c,,2377470,843,tRNA (adenine(58)-N(1))-methyltransferase,220,Rv2118c.fasta
Rv2119,,2378386,837,hypothetical protein,244,Rv2119.fasta
Rv2120c,,2379245,483,integral membrane protein,136,Rv2120c.fasta
Rv2121c,hisG,2379806,855,ATP phosphoribosyltransferase,193,Rv2121c.fasta
Rv2122c,hisE,2380663,282,phosphoribosyl-ATP pyrophosphatase,83,Rv2122c.fasta
Rv2127,ansP1,2388616,1470,L-asparagine permease,377,Rv2127.fasta
Rv2128,,2390085,204,transmembrane protein,66,Rv2128.fasta
Rv2130c,mshC,2391215,1245,cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase,297,Rv2130c.fasta
Rv2131c,cysQ,2392517,804,3'-phosphoadenosine 5'-phosphate phosphatase,224,Rv2131c.fasta
Rv2132,,2393411,231,hypothetical protein,63,Rv2132.fasta
Rv2133c,,2393851,789,hypothetical protein,236,Rv2133c.fasta
Rv2134c,,2394650,588,hypothetical protein,163,Rv2134c.fasta
Rv2135c,,2395301,711,hypothetical protein,152,Rv2135c.fasta
Rv2136c,,2396008,831,undecaprenyl-diphosphatase,224,Rv2136c.fasta
Rv2137c,,2396902,414,hypothetical protein,138,Rv2137c.fasta
Rv2138,lppL,2397330,1077,lipoprotein LppL,304,Rv2138.fasta
Rv2139,pyrD,2398720,1074,dihydroorotate dehydrogenase,258,Rv2139.fasta
Rv2140c,TB18.6,2399798,531,hypothetical protein,126,Rv2140c.fasta
Rv2141c,,2400376,1347,hypothetical protein,299,Rv2141c.fasta
Rv2142A,parD2,2402507,216,antitoxin ParD2,55,Rv2142A.fasta
Rv2142c,parE2,2402193,318,toxin ParE2,90,Rv2142c.fasta
Rv2143,,2402977,1059,hypothetical protein,294,Rv2143.fasta
Rv2144c,,2404165,357,transmembrane protein,95,Rv2144c.fasta
Rv2145c,wag31,2404616,783,cell wall synthesis protein Wag31,157,Rv2145c.fasta
Rv2146c,,2405666,291,transmembrane protein,66,Rv2146c.fasta
Rv2147c,,2406118,726,cell division protein SepF,179,Rv2147c.fasta
Rv2148c,,2406840,777,hypothetical protein,199,Rv2148c.fasta
Rv2149c,yfiH,2407622,753,laccase domain-containing protein,187,Rv2149c.fasta
Rv2150c,ftsZ,2408385,1140,cell division protein FtsZ,198,Rv2150c.fasta
Rv2151c,ftsQ,2409697,945,cell division protein FtsQ,251,Rv2151c.fasta
Rv2152c,murC,2410638,1485,UDP-N-acetylmuramate--alanine ligase,426,Rv2152c.fasta
Rv2153c,murG,2412119,1233,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase,385,Rv2153c.fasta
Rv2154c,ftsW,2413348,1575,lipid II flippase FtsW,354,Rv2154c.fasta
Rv2155c,murD,2414934,1461,UDP-N-acetylmuramoylalanine--D-glutamate ligase,437,Rv2155c.fasta
Rv2156c,murX,2416396,1080,phospho-N-acetylmuramoyl- pentappeptidetransferase,241,Rv2156c.fasta
Rv2158c,murE,2419001,1608,UDP-N-acetylmuramoylalanyl-D-glutamate--2,,
Rv2159c,,2420631,1035,hypothetical protein,350,Rv2159c.fasta
Rv2161c,,2422271,867,hypothetical protein,307,Rv2161c.fasta
Rv2163c,pbpB,2425048,2040,penicillin-binding membrane protein PbpB,480,Rv2163c.fasta
Rv2164c,,2427084,1155,proline-rich membrane protein,385,Rv2164c.fasta
Rv2165c,,2428235,1191,rRNA small subunit methyltransferase H,299,Rv2165c.fasta
Rv2166c,,2429427,432,protein MraZ,85,Rv2166c.fasta
Rv2169c,,2431565,405,transmembrane protein,109,Rv2169c.fasta
Rv2170,,2432235,621,GCN5-like N-acetyltransferase,214,Rv2170.fasta
Rv2171,lppM,2432951,684,lipoprotein LppM,166,Rv2171.fasta
Rv2172c,,2433631,906,hypothetical protein,187,Rv2172c.fasta
Rv2173,idsA2,2434847,1059,geranylgeranyl pyrophosphate synthetase IdsA,300,Rv2173.fasta
Rv2174,mptA,2435909,1551,alpha(1->6)-mannopyranosyltransferase A,362,Rv2174.fasta
Rv2176,pknL,2437941,1200,serine/threonine-protein kinase PknL,300,Rv2176.fasta
Rv2178c,aroG,2440332,1389,phospho-2-dehydro-3-deoxyheptonate aldolase AroG,231,Rv2178c.fasta
Rv2179c,,2441811,507,3'-5' exoribonuclease,115,Rv2179c.fasta
Rv2180c,,2442327,888,integral membrane protein,250,Rv2180c.fasta
Rv2181,,2443302,1284,alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase,315,Rv2181.fasta
Rv2182c,,2444586,744,1-acylglycerol-3-phosphate O-acyltransferase,138,Rv2182c.fasta
Rv2183c,,2445415,396,hypothetical protein,107,Rv2183c.fasta
Rv2184c,,2445807,1140,hypothetical protein,292,Rv2184c.fasta
Rv2185c,TB16.3,2447066,435,hypothetical protein,107,Rv2185c.fasta
Rv2186c,,2447605,390,hypothetical protein,78,Rv2186c.fasta
Rv2187,fadD15,2448160,1803,long-chain-fatty-acid--CoA ligase FadD15,554,Rv2187.fasta
Rv2188c,pimB,2449993,1158,alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase,294,Rv2188c.fasta
Rv2189c,,2451247,774,hypothetical protein,193,Rv2189c.fasta
Rv2190c,,2452115,1158,endopeptidase,322,Rv2190c.fasta
Rv2191,,2453819,1938,hypothetical protein,541,Rv2191.fasta
Rv2193,ctaE,2456901,612,cytochrome C oxidase subunit III,133,Rv2193.fasta
Rv2194,qcrC,2457553,843,ubiquinol-cytochrome C reductase cytochrome subunit C,187,Rv2194.fasta
Rv2195,qcrA,2458392,1290,ubiquinol-cytochrome C reductase rieske iron-sulfur subunit,335,Rv2195.fasta
Rv2196,qcrB,2459678,1650,ubiquinol-cytochrome C reductase cytochrome subunit B,352,Rv2196.fasta
Rv2198c,mmpS3,2462148,900,membrane protein MmpS3,323,Rv2198c.fasta
Rv2199c,,2463233,420,cytochrome c oxidase polypeptide 4,92,Rv2199c.fasta
Rv2200c,ctaC,2463660,1092,cytochrome C oxidase subunit II,273,Rv2200c.fasta
Rv2201,asnB,2464997,1959,asparagine synthetase,425,Rv2201.fasta
Rv2202c,adoK,2467053,975,adenosine kinase,213,Rv2202c.fasta
Rv2203,,2468231,693,membrane protein,221,Rv2203.fasta
Rv2204c,,2468931,357,hypothetical protein,91,Rv2204c.fasta
Rv2205c,,2469387,1077,hypothetical protein,374,Rv2205c.fasta
Rv2206,,2470622,711,transmembrane protein,193,Rv2206.fasta
Rv2207,cobT,2471411,1086,nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase,260,Rv2207.fasta
Rv2208,cobS,2472493,750,cobalamin synthase,231,Rv2208.fasta
Rv2209,,2473400,1539,integral membrane protein,442,Rv2209.fasta
Rv2211c,gcvT,2476042,1140,aminomethyltransferase,292,Rv2211c.fasta
Rv2212,,2477190,1137,adenylyl cyclase,344,Rv2212.fasta
Rv2213,pepB,2478338,1548,cytosol aminopeptidase,438,Rv2213.fasta
Rv2214c,ephD,2479923,1779,oxidoreductase EphD,464,Rv2214c.fasta
Rv2215,dlaT,2481965,1662,pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase,488,Rv2215.fasta
Rv2216,,2483626,906,epimerase family protein,277,Rv2216.fasta
Rv2217,lipB,2484584,693,octanoyltransferase,189,Rv2217.fasta
Rv2218,lipA,2485273,936,lipoyl synthase,231,Rv2218.fasta
Rv2219,,2486235,753,transmembrane protein,226,Rv2219.fasta
Rv2219A,,2486994,423,membrane protein,100,Rv2219A.fasta
Rv2220,glnA1,2487615,1437,glutamine synthetase,272,Rv2220.fasta
Rv2221c,glnE,2489369,2985,glutamate-ammonia-ligase adenylyltransferase,708,Rv2221c.fasta
Rv2222c,glnA2,2492402,1341,glutamine synthetase,283,Rv2222c.fasta
Rv2223c,,2493837,1563,carboxylesterase B,446,Rv2223c.fasta
Rv2224c,caeA,2495461,1563,carboxylesterase A,363,Rv2224c.fasta
Rv2224d,,2497225,222,hypothetical protein,58,Rv2224d.fasta
Rv2225,panB,2497742,846,3-methyl-2-oxobutanoate hydroxymethyltransferase,230,Rv2225.fasta
Rv2226,,2498832,1542,hypothetical protein,384,Rv2226.fasta
Rv2227,,2500931,702,hypothetical protein,126,Rv2227.fasta
Rv2228c,,2501644,1095,multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase,262,Rv2228c.fasta
Rv2229c,,2502735,738,hypothetical protein,195,Rv2229c.fasta
Rv2230c,,2503469,1140,GTP cyclohydrolase,292,Rv2230c.fasta
Rv2231A,vapC16,2505736,426,ribonuclease VapC16,144,Rv2231A.fasta
Rv2231c,cobC,2504605,1095,aminotransferase,310,Rv2231c.fasta
Rv2232,ptkA,2506278,876,protein tyrosine kinase transcriptional regulator PtkA,243,Rv2232.fasta
Rv2236c,cobD,2508434,942,cobalamin biosynthesis transmembrane protein CobD,339,Rv2236c.fasta
Rv2237,,2509489,768,hypothetical protein,191,Rv2237.fasta
Rv2237A,,2510351,237,hypothetical protein,66,Rv2237A.fasta
Rv2238c,ahpE,2510715,462,peroxiredoxin,89,Rv2238c.fasta
Rv2239c,,2511176,477,hypothetical protein,94,Rv2239c.fasta
Rv2240c,,2511690,591,hypothetical protein,162,Rv2240c.fasta
Rv2241,aceE,2512539,2706,pyruvate dehydrogenase E1 component,534,Rv2241.fasta
Rv2242,,2515304,1245,hypothetical protein,241,Rv2242.fasta
Rv2243,fabD,2516787,909,malonyl CoA-acyl carrier protein transacylase,256,Rv2243.fasta
Rv2244,acpM,2517771,348,meromycolate extension acyl carrier protein,75,Rv2244.fasta
Rv2245,kasA,2518115,1251,3-oxoacyl-ACP synthase 1,235,Rv2245.fasta
Rv2246,kasB,2519396,1317,3-oxoacyl-ACP synthase 2,253,Rv2246.fasta
Rv2247,accD6,2520743,1422,acetyl-/propionyl-CoA carboxylase subunit beta,266,Rv2247.fasta
Rv2248,,2522360,816,hypothetical protein,248,Rv2248.fasta
Rv2249c,glpD1,2523241,1551,glycerol-3-phosphate dehydrogenase,395,Rv2249c.fasta
Rv2252,,2526989,930,diacylglycerol kinase,317,Rv2252.fasta
Rv2253,,2527984,504,hypothetical protein,166,Rv2253.fasta
Rv2254c,,2528520,456,integral membrane protein,136,Rv2254c.fasta
Rv2256c,,2529341,534,hypothetical protein,120,Rv2256c.fasta
Rv2257c,,2530004,819,hypothetical protein,230,Rv2257c.fasta
Rv2258c,,2530836,1062,transcriptional regulator,342,Rv2258c.fasta
Rv2259,mscR,2532245,1086,S-nitrosomycothiol reductase MscR,311,Rv2259.fasta
Rv2260,,2533330,636,hypothetical protein,172,Rv2260.fasta
Rv2264c,,2536572,1779,proline-rich protein,506,Rv2264c.fasta
Rv2265,,2538700,1230,integral membrane protein,358,Rv2265.fasta
Rv2266,cyp124,2540104,1287,cytochrome P450 Cyp124,366,Rv2266.fasta
Rv2268c,cyp128,2542807,1470,cytochrome P450 Cyp128,412,Rv2268c.fasta
Rv2269c,,2544289,333,hypothetical protein,95,Rv2269c.fasta
Rv2282c,,2554938,939,LysR family HTH-type transcriptional regulator,253,Rv2282c.fasta
Rv2283,,2555941,195,hypothetical protein,69,Rv2283.fasta
Rv2284,lipM,2556145,1296,esterase LipM,338,Rv2284.fasta
Rv2285,,2557473,1338,diacylglycerol acyltransferase,366,Rv2285.fasta
Rv2287,yjcE,2559703,1629,Na(+)/H(+) transporter,430,Rv2287.fasta
Rv2289,cdh,2561675,783,CDP-diacylglycerol pyrophosphatase,236,Rv2289.fasta
Rv2292c,,2564029,225,hypothetical protein,50,Rv2292c.fasta
Rv2293c,,2564292,741,hypothetical protein,123,Rv2293c.fasta
Rv2294,,2565327,1224,cystathionine beta-lyase,324,Rv2294.fasta
Rv2295,,2566772,639,hypothetical protein,217,Rv2295.fasta
Rv2296,,2567504,903,haloalkane dehalogenase,274,Rv2296.fasta
Rv2297,,2568438,453,hypothetical protein,138,Rv2297.fasta
Rv2298,,2569082,972,oxidoreductase,285,Rv2298.fasta
Rv2299c,htpG,2570059,1944,chaperone protein HtpG,429,Rv2299c.fasta
Rv2300c,,2572076,933,metallo-hydrolase,296,Rv2300c.fasta
Rv2301,cut2,2573015,693,cutinase,217,Rv2301.fasta
Rv2302,,2573813,243,hypothetical protein,89,Rv2302.fasta
Rv2303c,,2574096,924,antibiotic-resistance protein,281,Rv2303c.fasta
Rv2304c,,2575016,210,hypothetical protein,70,Rv2304c.fasta
Rv2305,,2575809,1290,hypothetical protein,395,Rv2305.fasta
Rv2307A,,2579228,192,glycine-rich protein,47,Rv2307A.fasta
Rv2307B,,2579504,432,glycine-rich protein,161,Rv2307B.fasta
Rv2307D,,2580028,183,hypothetical protein,65,Rv2307D.fasta
Rv2307c,,2577851,846,hypothetical protein,287,Rv2307c.fasta
Rv2308,,2580419,717,hypothetical protein,228,Rv2308.fasta
Rv2308a,,2581145,333,hypothetical protein,89,Rv2308a.fasta
Rv2309A,,2583045,288,hypothetical protein,82,Rv2309A.fasta
Rv2310,,2583435,345,excisionase,100,Rv2310.fasta
Rv2311,,2583884,525,hypothetical protein,143,Rv2311.fasta
Rv2312,,2584486,270,hypothetical protein,77,Rv2312.fasta
Rv2313c,,2585052,855,hypothetical protein,239,Rv2313c.fasta
Rv2314c,,2585917,1374,hypothetical protein,389,Rv2314c.fasta
Rv2315c,,2587287,1518,hypothetical protein,425,Rv2315c.fasta
Rv2316,uspA,2588838,873,sugar ABC transporter permease UspA,203,Rv2316.fasta
Rv2318,uspC,2590518,1323,sugar ABC transporter substrate-binding lipoprotein UspC,339,Rv2318.fasta
Rv2319c,,2591848,879,universal stress protein,222,Rv2319c.fasta
Rv2320c,rocE,2592723,1431,cationic amino acid transporter permease RocE,420,Rv2320c.fasta
Rv2323c,,2595361,909,hypothetical protein,288,Rv2323c.fasta
Rv2324,,2596334,447,AsnC family transcriptional regulator,129,Rv2324.fasta
Rv2325c,,2597009,849,hypothetical protein,222,Rv2325c.fasta
Rv2326c,,2597854,2094,ABC transporter ATP-binding protein,506,Rv2326c.fasta
Rv2327,,2599988,492,hypothetical protein,123,Rv2327.fasta
Rv2329c,narK1,2601914,1548,nitrate/nitrite transporter,490,Rv2329c.fasta
Rv2330c,lppP,2603695,528,lipoprotein LppP,170,Rv2330c.fasta
Rv2331,,2604297,387,hypothetical protein,117,Rv2331.fasta
Rv2331A,,2604740,339,hypothetical protein,99,Rv2331A.fasta
Rv2332,mez,2605108,1647,malate oxidoreductase,399,Rv2332.fasta
Rv2334,cysK1,2608796,933,O-acetylserine sulfhydrylase,254,Rv2334.fasta
Rv2335,cysE,2609732,690,serine acetyltransferase,202,Rv2335.fasta
Rv2337c,,2611869,1119,hypothetical protein,323,Rv2337c.fasta
Rv2339,mmpL9,2614693,2889,transmembrane transport protein MmpL9,849,Rv2339.fasta
Rv2341,lppQ,2619597,420,lipoprotein LppQ,121,Rv2341.fasta
Rv2342,,2620272,258,hypothetical protein,61,Rv2342.fasta
Rv2343c,dnaG,2620533,1920,DNA primase,428,Rv2343c.fasta
Rv2344c,dgt,2622457,1296,deoxyguanosine triphosphate triphosphohydrolase,307,Rv2344c.fasta
Rv2345,,2623821,1983,transmembrane protein,554,Rv2345.fasta
Rv2357c,glyS,2639673,1392,glycine--tRNA ligase,240,Rv2357c.fasta
Rv2358,smtB,2641246,408,HTH-type transcriptional regulator SmtB,108,Rv2358.fasta
Rv2359,zur,2641650,393,zinc uptake regulation protein,272,Rv2359.fasta
Rv2360c,,2642150,429,hypothetical protein,128,Rv2360c.fasta
Rv2361c,,2642578,891,decaprenyl diphosphate synthase,155,Rv2361c.fasta
Rv2363,amiA2,2644320,1455,amidase,274,Rv2363.fasta
Rv2364c,era,2645771,903,GTPase Era,207,Rv2364c.fasta
Rv2366c,,2647060,1308,transmembrane protein,330,Rv2366c.fasta
Rv2367c,,2648364,549,endoribonuclease,110,Rv2367c.fasta
Rv2368c,phoH1,2648916,1059,protein PhoH,289,Rv2368c.fasta
Rv2370c,,2650245,1314,hypothetical protein,439,Rv2370c.fasta
Rv2372c,,2652037,789,rRNA small subunit methyltransferase E,198,Rv2372c.fasta
Rv2373c,dnaJ2,2652839,1149,chaperone protein DnaJ,289,Rv2373c.fasta
Rv2374c,hrcA,2654062,1032,heat-inducible transcription repressor HrcA,270,Rv2374c.fasta
Rv2375,,2655265,318,hypothetical protein,78,Rv2375.fasta
Rv2376c,cfp2,2655609,507,low molecular weight antigen MTB12,167,Rv2376c.fasta
Rv2378c,mbtG,2656408,1296,L-lysine N6-monooxygenase,244,Rv2378c.fasta
Rv2380c,mbtE,2662067,5049,peptide synthetase,1147,Rv2380c.fasta
Rv2381c,mbtD,2667255,3015,polyketide synthetase,708,Rv2381c.fasta
Rv2383c,mbtB,2671593,4245,phenyloxazoline synthase,1015,Rv2383c.fasta
Rv2385,mbtJ,2677729,921,acetyl hydrolase,284,Rv2385.fasta
Rv2386a,,2680458,210,hypothetical protein,91,Rv2386a.fasta
Rv2386c,mbtI,2678653,1353,salicylate synthase,256,Rv2386c.fasta
Rv2387,,2680765,1254,hypothetical protein,343,Rv2387.fasta
Rv2388c,hemN,2682015,1128,oxygen-independent coproporphyrinogen III oxidase,322,Rv2388c.fasta
Rv2391,sirA,2684679,1692,sulfite reductase,345,Rv2391.fasta
Rv2392,cysH,2686367,765,phosphoadenosine phosphosulfate reductase,222,Rv2392.fasta
Rv2393,che1,2687128,846,ferrochelatase,187,Rv2393.fasta
Rv2394,ggtB,2688010,1932,gamma-glutamyltranspeptidase precursor GgtB,618,Rv2394.fasta
Rv2395,,2690072,2004,integral membrane protein,578,Rv2395.fasta
Rv2395A,aprA,2692224,216,acid and phagosome regulated protein AprA,78,Rv2395A.fasta
Rv2395B,aprB,2692551,165,acid and phagosome regulated protein AprB,75,Rv2395B.fasta
Rv2397c,cysA1,2693909,1056,sulfate ABC transporter ATP-binding protein CysA,278,Rv2397c.fasta
Rv2398c,cysW,2694981,819,sulfate ABC transporter permease CysW,187,Rv2398c.fasta
Rv2399c,cysT,2695796,852,sulfate ABC transporter permease CysT,227,Rv2399c.fasta
Rv2400c,subI,2696644,1071,sulfate ABC transporter substrate-binding lipoprotein SubI,271,Rv2400c.fasta
Rv2401,,2697728,330,hypothetical protein,81,Rv2401.fasta
Rv2402,,2698529,1929,trehalase,540,Rv2402.fasta
Rv2403c,lppR,2700535,756,lipoprotein LppR,200,Rv2403c.fasta
Rv2404c,lepA,2701287,1962,GTP-binding protein LepA,483,Rv2404c.fasta
Rv2405,,2703269,570,hypothetical protein,167,Rv2405.fasta
Rv2410c,,2707333,978,hypothetical protein,184,Rv2410c.fasta
Rv2411c,,2708310,1656,hypothetical protein,338,Rv2411c.fasta
